SIORG, ORGAO, NOME, DESCRICAO, URL, GUARDA, COBERTURA TEMPORAL, COBERTURA GEOGRAFICA, ORIGEM, VCGEs, GRANULARIDADE TEMPORAL, GRANULARIDADE GEOGRAFICA, FORMATOS, TIPO, DATA DE CADASTRAMENTO, DATA DA ULTIMA MODIFICACAO
"100915","Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Regimento","Regimento do Conselho Superior do IFMGS","http://www.ifsuldeminas.edu.br/conteudo/conselhosuperior/regimentoconselho1.pdf","IFMGS","não há","Sul de Minas Gerais","IFMGS","educacao, instituicoes-federais-ensino-superior, educacao-profissional-tecnologica, gestao-escolar, legislacao-normas, ","Contínuo","Microregional","PDF, ","Geral","2012-07-29 13:17:29 UTC","2012-07-29 13:17:29 UTC"
"100915","Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Resoluções","Resoluções do Conselho Superior do IFMGS","http://www.ifsuldeminas.edu.br/index.php/pt/conselho-superior/resolucoes","IFMGS","2010-2012","Sul de Minas Gerais","IFMGS","educacao, instituicoes-federais-ensino-superior, educacao-profissional-tecnologica, gestao-escolar, legislacao-normas, ","Anual","Microregional","PDF, ","Geral","2012-07-29 13:20:01 UTC","2012-07-29 13:20:01 UTC"
"100915","Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Avaliação Institucional","Relatórios de Avaliação Institucional do IFMGS","http://www.ifsuldeminas.edu.br/index.php/orgaos-colegiados?lang=pt#cpa","IFMGS","2010-2011","Sul de Minas Gerais","IFMGS","educacao, instituicoes-federais-ensino-superior, educacao-profissional-tecnologica, sistema-educacional-avaliacao, ","Anual","Microregional","PDF, ","Avaliações","2012-07-29 13:23:00 UTC","2012-07-29 13:23:00 UTC"
"100915","Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Concursos","Documentação de concursos para docentes e técnicos administrativos do IFMGS","http://www.ifsuldeminas.edu.br/~concurso/","IFMGS","2012","Sul de Minas Gerais","IFMGS","educacao, instituicoes-federais-ensino-superior, educacao-profissional-tecnologica, recursos-humanos, concursos, professor, profissionais-educacao, apoio-escolar, ","Anual","Microregional","PDF, ","Despesas","2012-07-29 13:27:26 UTC","2012-07-29 13:27:26 UTC"
"100915","Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Processo Seletivo","Documentação dos Processos Seletivos para ingresso  no IFMGS","http://www.ifsuldeminas.edu.br/index.php/pt/vestibulares","IFMGS","2011-2012","Sul de Minas Gerais","IFMGS","educacao, instituicoes-federais-ensino-superior, educacao-profissional-tecnologica, ingresso-ensino-superior, ","Anual","Microregional","PDF, ","Despesas","2012-07-29 13:31:37 UTC","2012-07-29 13:31:37 UTC"
"100915","Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Legislação","Legislação pertinente à Diretoria de Ensino do IFMGS","http://www.ifsuldeminas.edu.br/index.php/pt/ensino/952-legislacao-e-normas-do-mec","IFMGS","não há","Sul de Minas Gerais","IFMGS","educacao, instituicoes-federais-ensino-superior, educacao-profissional-tecnologica, gestao-escolar, legislacao-normas, ","Contínuo","Microregional","PDF, ","Geral","2012-07-29 13:34:12 UTC","2012-07-29 13:34:12 UTC"
"100915","Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Editais","Editais dos programas da Pró-Reitoria de extensão do IFMGS","http://www.ifsuldeminas.edu.br/index.php/pt/pro-reitoria-de-extensao/170-editais-extensao","IFMGS","2012","Sul de Minas Gerais","IFMGS","educacao, instituicoes-federais-ensino-superior, educacao-profissional-tecnologica, pesquisa-cientifica-tecnologia, apoio-tecnico-pesquisa-iniciacao-cientifica, ","Anual","Microregional","PDF, ","Programas","2012-07-29 13:38:03 UTC","2012-07-29 13:38:03 UTC"
"100915","Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Editais","Editais dos programas da Pró-Reitoria de pesquisa e inovação do IFMGS","http://www.ifsuldeminas.edu.br/index.php/pt/pesquisa-e-inovacao/editais","IFMGS","2012","Sul de Minas Gerais","IFMGS","educacao, instituicoes-federais-ensino-superior, educacao-profissional-tecnologica, pesquisa-cientifica-tecnologia, apoio-tecnico-pesquisa-iniciacao-cientifica, ","Anual","Microregional","PDF, ","Programas","2012-07-29 13:41:54 UTC","2012-07-29 13:41:54 UTC"
"100915","Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Boletins de Serviço","Boletins de serviço do IFMGS","http://www.ifsuldeminas.edu.br/index.php/en/boletim-de-servico","IFMGS","2010-2012","Sul de Minas Gerais","IFMGS","educacao, instituicoes-federais-ensino-superior, educacao-profissional-tecnologica, recursos-humanos, publicacoes-oficiais, ","Anual","Microregional","PDF, ","Geral","2012-07-29 14:16:38 UTC","2012-07-29 14:16:38 UTC"
"100915","Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Licitações","Documentação de licitações do IFMGS","http://www.ifsuldeminas.edu.br/index.php/en/licitacoes","IFMGS","2012","Sul de Minas Gerais","IFMGS","educacao, instituicoes-federais-ensino-superior, educacao-profissional-tecnologica, compras-governamentais, licitacao, pregao, ","Anual","Microregional","PDF, ","Despesas","2012-07-29 14:20:08 UTC","2012-07-29 14:20:08 UTC"
