SIORG, ORGAO, # DATASETS, CSV, DOC, HTML, ODT, PDF, PPT, XLS, ZIP, Outro, , Avaliações, Desempenho da gestão, Despesas, Geral, Programas
100915," Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS",39,0,0,0,0,39,0,0,0,0,,2,7,15,11,4
71656,"Administração do Porto de Laguna ",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
71660,"Administração do Porto de Maceió - ANTQ",7,0,0,6,0,1,0,0,0,0,,0,0,6,1,0
46,"Advocacia-Geral da União - AGU",152,0,8,113,0,85,0,0,0,1,,2,2,11,127,10
45104,"Agência Brasileira de Inteligência - ABIN",12,0,0,10,0,4,0,0,0,1,,0,0,2,7,3
4243,"Agência Espacial Brasileira - AEB",8,0,0,7,0,1,0,0,0,0,,0,0,3,1,4
46876,"Agência Nacional das Águas - ANA",15,0,0,13,0,2,0,0,0,0,,0,0,3,0,12
86144,"Agência Nacional de Aviação Civil - ANAC",70,0,12,48,0,57,0,15,4,0,,3,2,2,63,0
21089,"Agência Nacional de Energia Elétrica - ANEEL",35,0,0,30,0,13,0,1,2,1,,1,1,0,18,15
45013,"Agência Nacional de Saúde Suplementar - ANS",51,0,1,45,0,13,0,1,5,0,,7,6,8,18,12
25064,"Agência Nacional de Telecomunicações – ANATEL",17,0,0,10,0,10,0,0,0,0,,4,1,1,11,0
54843,"Agência Nacional de Transportes Aquaviários - ANTAQ",52,0,1,25,0,37,0,1,2,0,,6,4,5,31,6
54793,"Agência Nacional de Transportes Terrestres - ANTT ",96,0,2,76,0,43,1,6,9,1,,6,7,14,59,10
36687,"Agência Nacional de Vigilância Sanitária - ANVISA",36,0,0,31,0,17,0,0,0,0,,3,4,1,3,25
57682,"Agência Nacional do Cinema - ANCINE",3,0,0,1,0,2,0,0,0,0,,0,0,2,0,1
25281,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP",91,0,25,35,0,46,1,19,5,5,,12,1,24,23,31
334,"Arquivo Nacional - AN",6,0,0,2,0,4,0,0,0,0,,0,2,1,3,0
89,"Banco Central do Brasil - BACEN",72,0,0,17,0,54,0,1,1,0,,12,19,2,38,1
2,"Banco Nacional de Desenvolvimento Econômico e Social - BNDES",55,0,2,32,0,38,0,6,0,0,,0,15,22,9,9
171,"Banco da Amazônia S.A. - BASA",22,0,0,4,0,18,0,0,0,0,,0,5,11,5,1
172,"Banco do Nordeste do Brasil S.A. - BNB",43,0,0,6,0,36,0,1,0,0,,9,9,9,12,4
2837,"Casa Civil da Presidência da República - CC-PR",16,0,0,13,0,8,0,0,0,3,,0,1,0,1,14
92,"Casa da Moeda do Brasil",15,0,0,5,0,10,0,0,0,0,,0,9,3,2,1
226,"Centrais Elétricas Brasileiras S.A - Eletrobras",93,0,11,18,0,64,0,6,10,4,,1,0,54,16,22
47838,"Centrais de Abastecimento de Minas Gerais – CEASA-MG",12,0,0,2,0,10,0,0,0,0,,0,4,2,6,0
24751,"Centro Brasileiro de Pesquisas Físicas - CBPF",12,0,0,11,0,3,0,0,0,0,,0,1,7,2,2
445,"Centro Federal de Educação Tecnológica de Minas Gerais - CEFET-MG",8,0,1,2,0,3,0,0,3,0,,0,0,7,1,0
448,"Centro Federal de Educação Tecnológica ´Celso Suckow da Fonseca´ - CEFET-RJ",16,0,6,5,0,14,0,3,0,0,,2,1,3,8,2
98519,"Centro Nacional de Tecnologia Eletrônica Avançada S.A. - CEITEC",2,0,0,1,0,1,0,0,0,0,,0,0,1,1,0
24752,"Centro de Tecnologia Mineral - CETEM",28,0,0,22,0,9,0,0,0,0,,0,2,2,7,17
256,"Colégio Pedro II - CP II",9,0,0,6,0,6,0,0,1,0,,2,0,0,7,0
18,"Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC",3,0,1,0,0,2,0,0,0,0,,1,1,1,0,0
7211,"Comissão Nacional de Cartografia - CONCAR",6,0,0,1,0,5,0,0,0,0,,0,0,0,5,1
9972,"Comissão Nacional de Classificação - CONCLA",15,0,4,11,0,4,0,3,0,0,,0,0,0,15,0
223,"Comissão Nacional de Energia Nuclear - CNEN",9,0,0,1,0,8,0,0,0,0,,0,1,2,0,6
69350,"Comissão Nacional de População e Desenvolvimento - CNPD",3,0,0,2,0,1,0,0,0,0,,0,0,0,3,0
478,"Comissão de Valores Mobiliários - CVM",25,0,2,14,0,13,0,0,0,0,,0,4,8,13,0
42816,"Comissão de Ética Pública - CEP",17,0,2,12,0,3,0,1,0,0,,2,0,0,5,10
109012,"Comitê Gestor do Programa de Inclusão Digital - CGPID - CGPID",9,0,0,9,0,0,0,0,0,0,,0,0,0,7,2
372,"Companhia Brasileira de Trens Urbanos - CBTU",19,0,0,16,0,5,0,0,0,0,,7,3,5,3,1
758,"Companhia Docas do Ceará – CDC ",8,0,0,8,0,0,0,0,0,0,,0,1,1,6,0
701,"Companhia Docas do Espirito Santo – CODESA ",3,0,0,0,0,2,0,0,1,0,,0,0,1,2,0
702,"Companhia Docas do Estado da Bahia – CODEBA ",4,0,0,1,0,3,0,0,0,0,,0,1,1,1,1
