Orgao,Dataset,URL
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Regimento",http://www.ifsuldeminas.edu.br/conteudo/conselhosuperior/regimentoconselho1.pdf
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Resoluções",http://www.ifsuldeminas.edu.br/index.php/pt/conselho-superior/resolucoes
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Avaliação Institucional",http://www.ifsuldeminas.edu.br/index.php/orgaos-colegiados?lang=pt#cpa
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Concursos",http://www.ifsuldeminas.edu.br/~concurso/
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Processo Seletivo",http://www.ifsuldeminas.edu.br/index.php/pt/vestibulares
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Legislação",http://www.ifsuldeminas.edu.br/index.php/pt/ensino/952-legislacao-e-normas-do-mec
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Editais",http://www.ifsuldeminas.edu.br/index.php/pt/pro-reitoria-de-extensao/170-editais-extensao
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Editais",http://www.ifsuldeminas.edu.br/index.php/pt/pesquisa-e-inovacao/editais
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Boletins de Serviço",http://www.ifsuldeminas.edu.br/index.php/en/boletim-de-servico
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Licitações",http://www.ifsuldeminas.edu.br/index.php/en/licitacoes
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Portarias",http://www.ifsuldeminas.edu.br/index.php/en/portarias
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Regimento Geral",http://www.ifsuldeminas.edu.br/index.php/en/regimentos
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Plano Plurianual",http://www.ifsuldeminas.edu.br/downloads/PDI_2009_2013.pdf
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Processo de contas anuais",http://www.ifsuldeminas.edu.br/index.php/en/contas-anuais
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Relação de Servidores ",http://www.ifs.ifsuldeminas.edu.br/a-instituicao/corpo-docente
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Processo de contas anuais",http://www.ifs.ifsuldeminas.edu.br/prestacao-de-contas
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Licitações",http://www.ifs.ifsuldeminas.edu.br/compraslicitacao
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Processo Seletivo",http://www.ifs.ifsuldeminas.edu.br/vestibulares
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Concursos",http://www.ifs.ifsuldeminas.edu.br/editais
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Plano Plurianual",http://www.ifs.ifsuldeminas.edu.br/documentos
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Avaliação Institucional",http://www.mch.ifsuldeminas.edu.br/departamentos/382-cpa
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Relação de Servidores ",http://www.mch.ifsuldeminas.edu.br/docentes
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Concursos",http://www.mch.ifsuldeminas.edu.br/concursos
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Processo Seletivo",http://www.mch.ifsuldeminas.edu.br/vestibular
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Calendário acadêmico",http://www.mch.ifsuldeminas.edu.br/calendario-2012
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Licitações",http://www.mch.ifsuldeminas.edu.br/licitacoes
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Processo de contas anuais",http://www.mch.ifsuldeminas.edu.br/processos-de-contas-anuais
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Documentação",http://www.mch.ifsuldeminas.edu.br/documentos
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Relação de Servidores ",http://www.muz.ifsuldeminas.edu.br/index.php/corpo-docente
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Relação de Servidores ",http://www.muz.ifsuldeminas.edu.br/index.php/corpo-administrativo
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Processo Seletivo",http://www.pas.ifsuldeminas.edu.br/index.php?option=com_content&view=article&id=57&Itemid=77
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Edital ",http://www.pas.ifsuldeminas.edu.br/index.php?option=com_content&view=article&id=84&Itemid=91 
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Calendário acadêmico",http://www.pcs.ifsuldeminas.edu.br/index.php?option=com_content&view=article&id=94&Itemid=145
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Edital ",http://www.poa.ifsuldeminas.edu.br/index.php?option=com_content&view=article&id=111&Itemid=107
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Plano de Atividades ",http://www.ifsuldeminas.edu.br/index.php/pt/auditoria-interna/paint-2011
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Atas",http://www.ifsuldeminas.edu.br/index.php/noticias/421-atas
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Calendário acadêmico",http://www.ifs.ifsuldeminas.edu.br/calendario-academico
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Licitações",http://www.muz.ifsuldeminas.edu.br/index.php/licitacoes
" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS","Relação de Servidores ",http://www.pas.ifsuldeminas.edu.br/index.php?option=com_content&view=article&id=77&Itemid=54
"Administração do Porto de Maceió - ANTQ","Contratos",http://www.portodemaceio.com.br/busca_contratos.php?status=01
"Administração do Porto de Maceió - ANTQ","Contratos Concluídos",http://www.portodemaceio.com.br/busca_contratos.php?status=03
"Administração do Porto de Maceió - ANTQ","Licitações Canceladas ",http://www.portodemaceio.com.br/busca_licitacoes.php?status=07
"Administração do Porto de Maceió - ANTQ","Licitações Realizadas",http://www.portodemaceio.com.br/busca_licitacoes.php?status=03
