Termo VCGE, Orgão, Quantidade
educacao  ," Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS",35
educacao  ,"Colégio Pedro II - CP II",9
educacao  ,"Instituto Benjamin Constant",6
educacao  ,"Instituto Federal de Educação, Ciência e Tecnologia Fluminense - IFF",11
educacao  ,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo - IFES",24
educacao  ,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso - IFMT",18
educacao  ,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul - IFMS",6
educacao  ,"Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais - IFNMG",45
educacao  ,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná - IFPR",1
educacao  ,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte - IFRN",42
educacao  ,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul - IFRS",112
educacao  ,"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro - IFRJ ",38
educacao  ,"Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais -  IFMGSE",6
educacao  ,"Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro - IFTM",1
instituicoes-federais-ensino-superior  ," Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS",34
instituicoes-federais-ensino-superior  ,"Instituto Federal de Educação, Ciência e Tecnologia Fluminense - IFF",13
instituicoes-federais-ensino-superior  ,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo - IFES",22
instituicoes-federais-ensino-superior  ,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso - IFMT",22
instituicoes-federais-ensino-superior  ,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul - IFMS",7
instituicoes-federais-ensino-superior  ,"Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais - IFNMG",44
instituicoes-federais-ensino-superior  ,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná - IFPR",1
instituicoes-federais-ensino-superior  ,"Instituto Federal de Educação, Ciência e Tecnologia do Pará - IFPA",1
instituicoes-federais-ensino-superior  ,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte - IFRN",41
instituicoes-federais-ensino-superior  ,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul - IFRS",116
instituicoes-federais-ensino-superior  ,"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro - IFRJ ",35
instituicoes-federais-ensino-superior  ,"Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais -  IFMGSE",7
educacao-profissional-tecnologica  ," Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS",9
educacao-profissional-tecnologica  ,"Instituto Federal de Educação, Ciência e Tecnologia Fluminense - IFF",9
educacao-profissional-tecnologica  ,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo - IFES",9
educacao-profissional-tecnologica  ,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso - IFMT",7
educacao-profissional-tecnologica  ,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul - IFMS",1
educacao-profissional-tecnologica  ,"Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais - IFNMG",11
educacao-profissional-tecnologica  ,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte - IFRN",19
educacao-profissional-tecnologica  ,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul - IFRS",34
educacao-profissional-tecnologica  ,"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro - IFRJ ",6
educacao-profissional-tecnologica  ,"Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais -  IFMGSE",1
gestao-escolar  ," Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFMGS",3
gestao-escolar  ,"Instituto Federal de Educação, Ciência e Tecnologia Fluminense - IFF",3
gestao-escolar  ,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo - IFES",4
gestao-escolar  ,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso - IFMT",2
gestao-escolar  ,"Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais - IFNMG",2
gestao-escolar  ,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte - IFRN",6
